"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Multiracial","Male","All transmission categories","1","4.1","24,629"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","White","Female","All transmission categories","0","0.0","208,645"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","White","Male","All transmission categories","16","6.8","235,409"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","4,822"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","20.0","4,990"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Hispanic/Latino","Female","All transmission categories","2","8.0","25,133"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Hispanic/Latino","Male","All transmission categories","3","10.7","28,013"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Black/African American","Female","All transmission categories","0","0.0","10,711"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Black/African American","Male","All transmission categories","2","14.3","13,998"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Asian","Female","All transmission categories","0","0.0","24,699"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Asian","Male","All transmission categories","3","13.7","21,948"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","American Indian/Alaska Native","Female","All transmission categories","3","5.6","53,387"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","American Indian/Alaska Native","Male","All transmission categories","9","16.5","54,460"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Multiracial","Female","All transmission categories","6","8.1","74,028"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Multiracial","Male","All transmission categories","20","27.7","72,282"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Unknown","Male","All transmission categories","14","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","White","Female","All transmission categories","71","3.6","1,971,265"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","White","Male","All transmission categories","244","12.7","1,928,561"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","2","32.8","6,094"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","7,379"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Hispanic/Latino","Female","All transmission categories","82","7.3","1,123,083"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Hispanic/Latino","Male","All transmission categories","252","22.2","1,135,773"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Black/African American","Female","All transmission categories","10","6.6","151,772"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Black/African American","Male","All transmission categories","59","36.3","162,723"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Asian","Female","All transmission categories","0","0.0","128,307"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","Asian","Male","All transmission categories","12","10.6","112,865"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","American Indian/Alaska Native","Female","All transmission categories","62","42.4","146,091"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","All age groups","American Indian/Alaska Native","Male","All transmission categories","62","45.0","137,801"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Multiracial","Female","All transmission categories","1","3.4","29,612"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Multiracial","Male","All transmission categories","1","3.5","28,791"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Unknown","Female","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Unknown","Male","All transmission categories","7","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","White","Female","All transmission categories","62","5.6","1,106,441"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","White","Male","All transmission categories","83","7.8","1,068,087"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","4,822"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","5,288"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Hispanic/Latino","Female","All transmission categories","3","2.7","110,594"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Hispanic/Latino","Male","All transmission categories","13","10.7","121,080"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Black/African American","Female","All transmission categories","47","19.3","243,845"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Black/African American","Male","All transmission categories","140","63.5","220,425"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Asian","Female","All transmission categories","0","0.0","24,652"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","Asian","Male","All transmission categories","0","0.0","23,186"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","8.6","11,658"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arkansas","05","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","17.8","11,252"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Multiracial","Female","All transmission categories","13","2.4","553,016"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Multiracial","Male","All transmission categories","82","15.1","543,848"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Unknown","Female","All transmission categories","87","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Unknown","Male","All transmission categories","542","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","White","Female","All transmission categories","306","4.2","7,285,719"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","White","Male","All transmission categories","1,924","26.4","7,294,302"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","2","2.7","73,627"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","34","47.1","72,217"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Hispanic/Latino","Female","All transmission categories","500","6.5","7,690,472"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Hispanic/Latino","Male","All transmission categories","2,837","36.5","7,782,387"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Black/African American","Female","All transmission categories","185","16.6","1,116,235"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Black/African American","Male","All transmission categories","796","72.1","1,104,349"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Asian","Female","All transmission categories","27","0.9","3,041,335"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","Asian","Male","All transmission categories","335","12.2","2,740,419"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","American Indian/Alaska Native","Female","All transmission categories","6","7.3","82,732"
"Early Non-Primary, Non-Secondary Syphilis","2018","California","06","All age groups","American Indian/Alaska Native","Male","All transmission categories","23","28.4","80,930"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Multiracial","Female","All transmission categories","0","0.0","65,395"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Multiracial","Male","All transmission categories","0","0.0","64,946"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Unknown","Male","All transmission categories","9","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","White","Female","All transmission categories","18","0.9","1,925,650"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","White","Male","All transmission categories","163","8.4","1,940,533"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","3,694"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,927"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Hispanic/Latino","Female","All transmission categories","11","1.8","605,233"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Hispanic/Latino","Male","All transmission categories","125","19.9","628,515"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Black/African American","Female","All transmission categories","6","5.6","106,410"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Black/African American","Male","All transmission categories","23","18.7","123,203"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Asian","Female","All transmission categories","0","0.0","100,930"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","Asian","Male","All transmission categories","5","5.8","86,051"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","18,214"
"Early Non-Primary, Non-Secondary Syphilis","2018","Colorado","08","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","10.8","18,586"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Multiracial","Female","All transmission categories","Data not available","Data not available","32,070"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Multiracial","Male","All transmission categories","Data not available","Data not available","30,814"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Unknown","Female","All transmission categories","Data not available","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Unknown","Male","All transmission categories","Data not available","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","White","Female","All transmission categories","Data not available","Data not available","1,217,705"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","White","Male","All transmission categories","Data not available","Data not available","1,158,292"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","Data not available","Data not available","645"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","Data not available","Data not available","620"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Hispanic/Latino","Female","All transmission categories","Data not available","Data not available","296,795"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Hispanic/Latino","Male","All transmission categories","Data not available","Data not available","293,030"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Black/African American","Female","All transmission categories","Data not available","Data not available","191,015"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Black/African American","Male","All transmission categories","Data not available","Data not available","173,663"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Asian","Female","All transmission categories","Data not available","Data not available","87,361"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","Asian","Male","All transmission categories","Data not available","Data not available","81,752"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","American Indian/Alaska Native","Female","All transmission categories","Data not available","Data not available","3,806"
"Early Non-Primary, Non-Secondary Syphilis","2018","Connecticut","09","All age groups","American Indian/Alaska Native","Male","All transmission categories","Data not available","Data not available","3,952"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Multiracial","Female","All transmission categories","0","0.0","11,610"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Multiracial","Male","All transmission categories","1","9.3","10,708"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Unknown","Male","All transmission categories","8","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","White","Female","All transmission categories","2","0.6","309,282"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","White","Male","All transmission categories","9","3.1","289,562"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","179"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","164"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","44,762"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Hispanic/Latino","Male","All transmission categories","1","2.2","46,382"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Black/African American","Female","All transmission categories","2","1.8","111,728"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Black/African American","Male","All transmission categories","11","11.0","99,662"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Asian","Female","All transmission categories","0","0.0","19,536"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","Asian","Male","All transmission categories","0","0.0","18,898"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","1,544"
"Early Non-Primary, Non-Secondary Syphilis","2018","Delaware","10","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","1,462"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Multiracial","Female","All transmission categories","0","0.0","8,671"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Multiracial","Male","All transmission categories","4","56.1","7,130"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Unknown","Female","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Unknown","Male","All transmission categories","61","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","White","Female","All transmission categories","0","0.0","130,618"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","White","Male","All transmission categories","75","57.9","129,463"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","183"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","162"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","38,481"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Hispanic/Latino","Male","All transmission categories","40","101.2","39,510"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Black/African American","Female","All transmission categories","10","5.8","172,683"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Black/African American","Male","All transmission categories","134","93.4","143,420"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Asian","Female","All transmission categories","0","0.0","17,278"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","Asian","Male","All transmission categories","8","63.8","12,530"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","729"
"Early Non-Primary, Non-Secondary Syphilis","2018","District of Columbia","11","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","689"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Multiracial","Female","All transmission categories","0","0.0","180,563"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Multiracial","Male","All transmission categories","0","0.0","173,658"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Unknown","Female","All transmission categories","27","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Unknown","Male","All transmission categories","217","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","White","Female","All transmission categories","129","2.2","5,805,510"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","White","Male","All transmission categories","921","16.5","5,583,775"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","2","29.2","6,852"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","15.0","6,670"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Hispanic/Latino","Female","All transmission categories","93","3.3","2,802,980"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Hispanic/Latino","Male","All transmission categories","1,320","48.3","2,734,877"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Black/African American","Female","All transmission categories","244","14.2","1,715,254"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Black/African American","Male","All transmission categories","955","60.2","1,585,491"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Asian","Female","All transmission categories","2","0.6","320,992"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","Asian","Male","All transmission categories","23","8.4","274,197"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","American Indian/Alaska Native","Female","All transmission categories","2","7.5","26,793"
"Early Non-Primary, Non-Secondary Syphilis","2018","Florida","12","All age groups","American Indian/Alaska Native","Male","All transmission categories","3","11.2","26,705"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Multiracial","Female","All transmission categories","1","1.0","100,751"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Multiracial","Male","All transmission categories","4","4.3","93,355"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Unknown","Female","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Unknown","Male","All transmission categories","67","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","White","Female","All transmission categories","21","0.7","2,803,176"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","White","Male","All transmission categories","203","7.5","2,711,770"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","3,205"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,315"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Hispanic/Latino","Female","All transmission categories","10","2.0","488,877"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Hispanic/Latino","Male","All transmission categories","89","16.7","533,493"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Black/African American","Female","All transmission categories","90","5.1","1,763,626"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Black/African American","Male","All transmission categories","1,020","66.0","1,545,652"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Asian","Female","All transmission categories","0","0.0","227,430"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","Asian","Male","All transmission categories","6","2.8","212,565"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","12,235"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","8.6","11,681"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Multiracial","Female","All transmission categories","0","0.0","136,217"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Multiracial","Male","All transmission categories","6","4.3","140,623"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Unknown","Female","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Unknown","Male","All transmission categories","27","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","White","Female","All transmission categories","1","0.7","143,755"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","White","Male","All transmission categories","17","10.2","167,075"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","4","6.1","65,873"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","6","8.8","68,053"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","73,619"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Hispanic/Latino","Male","All transmission categories","8","10.4","77,272"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Black/African American","Female","All transmission categories","0","0.0","10,871"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Black/African American","Male","All transmission categories","1","5.9","17,084"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Asian","Female","All transmission categories","1","0.4","277,533"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","Asian","Male","All transmission categories","13","5.4","239,585"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","1,434"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","1,599"
