"","state_name","state_fips","topic","policy_details","exists_tf","value_num","value_char","date_effective","end_date","comments","citations"
"24","Minnesota","27","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"25","Mississippi","28","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"26","Missouri","29","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"27","Montana","30","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"28","Nebraska","31","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"29","Nevada","32","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,"( Caution: Paid leave law can be used for health-related purposes and other reasons. Nev. Rev. Stat. Sec. 608.0197 )","(Nev. Rev. Stat.  608.0197)"
"30","New Hampshire","33","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"31","New Jersey","34","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(N.J. Admin. Code Sec. 12:693.2)"
"32","New Mexico","35","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"33","New York","36","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(N.Y. Lab. Law Sec. 196-b)"
"34","North Carolina","37","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"35","North Dakota","38","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"36","Ohio","39","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"37","Oklahoma","40","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"38","Oregon","41","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(Or. Rev. Stat. Sec. 653.606)"
"39","Pennsylvania","42","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"40","Rhode Island","44","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(R.I. Gen. Laws Sec. 28-57-5)"
"41","South Carolina","45","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"42","South Dakota","46","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"43","Tennessee","47","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"44","Texas","48","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"45","Utah","49","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"46","Vermont","50","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(Vt. Stat. tit. 21, Sec. 482)"
"47","Virginia","51","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"48","Washington","53","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"Yes",NA,NA,NA,"(Wash. Rev. Code Sec. 49.46.210)"
"49","West Virginia","54","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"50","Wisconsin","55","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
"51","Wyoming","56","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,0,"No",NA,NA,NA,NA
